# {"t_start": 1556387814.8088303, "env_id": "SuperMarioBros-v1"} 
r,l,t
248.0,29,14103.032289
1546.0,321,14124.315448
251.0,28,14126.19687
248.0,35,14128.431067
599.0,89,14133.901165
622.0,68,14138.574317
1327.0,180,14151.107462
1827.0,308,14171.337497
617.0,81,14177.302006
1408.0,206,14190.728539
1563.0,321,14212.186566
622.0,73,14217.627842
1677.0,244,14233.929358
245.0,32,14235.883233
1686.0,264,14253.335763
624.0,110,14260.683387
1306.0,227,14275.978022
247.0,31,14278.027792
3016.0,494,14309.513871
1047.0,173,14321.586921
1421.0,394,14347.541216
1926.0,241,14362.605387
603.0,113,14370.701837
1303.0,263,14387.985065
1040.0,212,14402.614543
218.0,46,14405.589131
1323.0,324,14427.397385
1053.0,219,14441.05365
759.0,194,14454.600207
1013.0,321,14475.063036
1431.0,199,14488.825836
715.0,214,14502.100834
1050.0,173,14513.337306
1559.0,291,14531.429793
1423.0,229,14546.01727
1253.0,420,14574.682655
731.0,152,14585.044764
247.0,28,14586.870996
1335.0,220,14601.136209
1574.0,211,14615.725755
1686.0,307,14636.297874
1041.0,185,14648.086192
627.0,76,14653.726107
1338.0,150,14663.871871
1332.0,214,14678.138081
1916.0,211,14691.770562
250.0,30,14693.698762
812.0,175,14705.947503
604.0,63,14709.786782
1329.0,168,14721.65762
1321.0,236,14737.156897
1660.0,393,14762.834016
730.0,119,14770.459663
225.0,38,14773.473768
1029.0,243,14789.846735
1856.0,252,14806.650499
250.0,32,14808.59661
1822.0,433,14837.038676
630.0,82,14842.377712
611.0,71,14847.706998
651.0,78,14852.928054
1342.0,179,14864.691137
1051.0,209,14879.029578
1437.0,189,14891.416081
802.0,259,14909.04302
1030.0,134,14917.98333
1323.0,298,14937.972293
1310.0,289,14957.047935
1419.0,206,14971.322072
1397.0,295,14991.149616
759.0,150,15001.349933
1431.0,146,15011.184625
657.0,76,15016.283769
1899.0,211,15029.951593
1684.0,353,15053.51402
2355.0,337,15076.395059
1828.0,227,15092.045461
249.0,29,15093.897659
1035.0,148,15103.902201
1697.0,210,15117.898132
1303.0,257,15135.132334
1320.0,269,15153.32268
1039.0,175,15164.89309
246.0,31,15167.14802
1046.0,127,15175.445539
607.0,64,15179.399319
250.0,30,15181.325314
250.0,28,15183.334824
231.0,34,15185.976597
1672.0,375,15211.02021
620.0,72,15215.355055
252.0,27,15216.987013
251.0,30,15218.785986
