# {"env_id": "SuperMarioBros-v1", "t_start": 1556333252.0456674} 
r,l,t
1314.0,203,18427.687725
242.0,33,18431.159887
638.0,73,18438.379871
646.0,77,18448.154585
1711.0,285,18475.475635
249.0,37,18478.92652
247.0,30,18482.425933
1018.0,309,18515.59144
1708.0,229,18538.26946
1031.0,221,18562.322534
1561.0,251,18589.581711
748.0,183,18609.947228
1918.0,232,18635.348449
1055.0,105,18645.610025
1035.0,204,18668.010536
644.0,65,18674.467234
1049.0,113,18685.783762
1343.0,135,18700.864717
813.0,144,18715.8119
632.0,135,18729.092023
656.0,75,18736.449054
814.0,141,18750.459673
240.0,36,18754.089836
1411.0,229,18779.76637
1334.0,275,18806.66251
1374.0,181,18828.730654
228.0,42,18832.342852
712.0,192,18851.945807
2287.0,743,18930.932392
1841.0,235,18956.206003
1687.0,212,18980.505316
1880.0,245,19004.798776
806.0,145,19019.283041
605.0,62,19025.274916
821.0,137,19041.176772
1039.0,160,19056.945302
252.0,33,19059.973753
759.0,138,19073.73574
740.0,111,19084.685608
807.0,177,19104.421975
1053.0,124,19116.788007
1335.0,205,19139.273994
636.0,160,19154.984823
1685.0,294,19186.22463
251.0,32,19189.370986
1687.0,234,19215.651802
1346.0,163,19231.836801
1313.0,239,19255.510096
1367.0,475,19307.108035
634.0,138,19320.587777
1700.0,200,19342.219506
250.0,29,19344.746497
763.0,121,19357.403001
1564.0,216,19378.920557
1691.0,252,19406.118482
251.0,28,19408.972196
2646.0,381,19447.862986
814.0,164,19465.521205
625.0,90,19476.200593
1335.0,222,19500.289049
1040.0,133,19514.465083
762.0,131,19528.67685
821.0,190,19546.964906
1051.0,153,19562.398772
245.0,30,19565.304656
1316.0,240,19591.39458
1042.0,185,19611.946729
1030.0,208,19632.722254
720.0,98,19642.344922
1049.0,115,19653.610133
611.0,77,19661.100056
1425.0,156,19676.436518
250.0,30,19679.615484
1327.0,178,19700.743581
1042.0,132,19716.833067
1030.0,224,19741.428469
1716.0,206,19761.737116
632.0,78,19769.383624
606.0,72,19778.363033
244.0,34,19782.167637
623.0,71,19789.122502
649.0,75,19796.504822
610.0,98,19808.422673
1320.0,230,19832.79878
615.0,60,19839.516894
1443.0,233,19862.421454
1035.0,158,19878.093978
1428.0,165,19896.563137
1040.0,159,19912.214473
2348.0,396,19951.410958
1028.0,243,19978.601733
1030.0,220,20001.780533
2638.0,437,20047.374738
1557.0,237,20073.018586
1048.0,110,20084.102968
612.0,69,20090.841066
1430.0,157,20108.584604
1052.0,147,20122.416393
1350.0,169,20139.772106
1053.0,134,20154.726616
1826.0,383,20195.361974
1576.0,223,20217.264008
1570.0,238,20239.975152
1056.0,120,20250.628344
1042.0,143,20267.971575
1054.0,257,20294.393441
713.0,174,20311.303105
1947.0,231,20336.889521
1577.0,204,20359.88624
1941.0,230,20384.702485
1878.0,282,20415.093968
1934.0,247,20439.357195
615.0,65,20446.303277
1363.0,152,20463.064009
1333.0,242,20490.044408
1036.0,214,20516.530892
650.0,74,20526.568015
628.0,82,20536.007424
653.0,68,20543.477685
606.0,66,20551.775632
1039.0,161,20569.389709
1043.0,156,20587.081135
620.0,67,20593.582336
1839.0,323,20627.433536
631.0,90,20636.642664
237.0,40,20640.091135
617.0,94,20649.707703
249.0,33,20653.170098
607.0,110,20663.811456
615.0,73,20671.092804
617.0,77,20678.684883
244.0,36,20682.115673
1023.0,227,20706.971239
816.0,164,20723.194556
1435.0,220,20747.144489
1308.0,270,20774.327664
820.0,170,20793.081527
596.0,108,20805.10619
620.0,70,20813.019804
788.0,135,20826.24595
1590.0,201,20848.597145
589.0,104,20858.804531
1684.0,355,20895.382242
634.0,90,20905.050592
601.0,98,20914.728924
647.0,74,20922.486756
1339.0,154,20939.578901
819.0,143,20955.562317
1057.0,176,20973.385303
1437.0,190,20992.351431
598.0,124,21006.844538
1322.0,207,21026.971573
809.0,200,21046.861823
1042.0,219,21070.860866
652.0,104,21081.008075
242.0,34,21084.484923
1925.0,255,21111.840838
1695.0,325,21146.14781
1731.0,203,21166.728301
629.0,76,21176.128255
1867.0,260,21204.120833
633.0,70,21210.725832
639.0,137,21224.377121
616.0,85,21233.813225
1437.0,163,21249.9264
1329.0,185,21268.149917
1043.0,242,21293.368894
2346.0,445,21340.613513
645.0,103,21350.723581
609.0,63,21356.959481
1600.0,164,21375.606276
630.0,76,21383.149312
1435.0,209,21404.12669
634.0,84,21413.252096
1961.0,284,21444.788965
606.0,97,21454.500161
1424.0,185,21472.617812
607.0,71,21479.71137
1351.0,160,21495.459707
599.0,99,21506.813375
1371.0,146,21522.125527
1428.0,213,21543.011371
766.0,146,21559.252307
639.0,137,21572.945616
1049.0,211,21593.267043
1929.0,287,21623.863662
1345.0,149,21638.900685
1423.0,227,21665.287754
254.0,27,21668.213237
254.0,30,21671.236842
1433.0,150,21686.08542
1571.0,201,21707.559059
613.0,76,21715.675507
1678.0,278,21743.117625
616.0,89,21752.815482
1355.0,166,21770.63958
1344.0,162,21786.663677
820.0,136,21802.127048
1908.0,301,21834.512124
1707.0,260,21862.538987
1704.0,191,21880.422514
2369.0,367,21920.571016
1050.0,111,21931.559457
3055.0,446,21978.200391
630.0,132,21991.09801
630.0,82,22001.253948
651.0,79,22010.179365
223.0,41,22014.511314
1035.0,161,22030.362767
822.0,127,22042.694526
256.0,29,22045.751881
1878.0,268,22074.661792
747.0,120,22088.203778
240.0,39,22092.5695
792.0,140,22105.491953
1561.0,183,22125.324025
1592.0,203,22146.537857
1046.0,200,22168.748203
1042.0,160,22184.596442
1852.0,245,22211.058007
1344.0,174,22227.458955
1694.0,235,22253.751759
748.0,148,22270.326256
1351.0,146,22286.838478
247.0,30,22290.003048
1424.0,218,22311.483368
1346.0,184,22329.92599
241.0,34,22333.170959
1055.0,109,22346.002686
1058.0,118,22357.96101
1700.0,188,22377.445797
1358.0,182,22396.705615
753.0,109,22407.313075
1053.0,115,22418.880495
1328.0,152,22436.042081
815.0,157,22451.594091
604.0,58,22458.919579
235.0,35,22463.10002
235.0,32,22466.42649
813.0,153,22481.593118
612.0,65,22487.901982
818.0,138,22501.593225
2605.0,469,22552.606088
1335.0,203,22575.240248
1911.0,210,22595.838047
1854.0,295,22628.346748
1054.0,138,22644.177149
767.0,178,22661.821354
1703.0,194,22682.160014
728.0,116,22694.671362
1595.0,191,22715.842498
621.0,66,22722.388655
1716.0,206,22742.943914
663.0,75,22750.320128
247.0,27,22752.946783
1038.0,176,22772.665039
615.0,90,22781.408564
1050.0,154,22796.770434
1425.0,175,22813.971325
2366.0,289,22842.738376
1713.0,207,22864.963078
1053.0,177,22882.976976
