% time spent exploring,episodes,mean 100 episode reward,steps
2,2680,1809.9,625912
2,2690,1778.6,628977
2,2700,1856.0,633378
2,2710,1822.2,636458
2,2720,1784.4,638999
2,2730,1757.6,641662
2,2740,1742.7,643845
2,2750,1780.6,646295
2,2760,1722.3,649407
2,2770,1723.3,652687
2,2780,1763.1,654204
2,2790,1762.8,657230
2,2800,1703.9,660296
2,2810,1625.7,661598
2,2820,1636.1,664395
2,2830,1662.6,667412
2,2840,1656.3,669173
2,2850,1620.9,670404
2,2860,1579.5,672201
2,2870,1450.7,673529
2,2880,1430.8,674923
2,2890,1317.5,675688
2,2900,1244.9,677041
2,2910,1259.8,678194
2,2920,1167.4,679570
2,2930,1079.4,681694
2,2940,1094.0,684142
2,2950,1139.5,686439
2,2960,1218.2,691474
2,2970,1290.3,694027
2,2980,1313.0,696098
2,2990,1340.4,697812
2,3000,1349.5,699238
2,3010,1356.2,701243
2,3020,1368.8,702322
2,3030,1411.2,704728
2,3040,1408.2,707251
2,3050,1415.4,709133
2,3060,1333.7,711244
2,3070,1380.0,715487
2,3080,1496.8,720083
2,3090,1588.5,723918
2,3100,1617.6,725831
2,3110,1700.3,729327
2,3120,1835.9,733273
2,3130,1903.0,735999
2,3140,1917.4,738407
2,3150,1907.4,740154
2,3160,1910.6,742382
2,3170,1800.9,743481
2,3180,1689.8,746139
2,3190,1649.3,748586
2,3200,1638.1,750624
2,3210,1659.1,755034
2,3220,1612.5,758267
2,3230,1534.7,760072
2,3240,1582.7,763196
2,3250,1600.4,765156
2,3260,1574.8,767183
2,3270,1616.1,769556
2,3280,1668.3,772319
2,3290,1665.3,774097
2,3300,1690.7,776061
2,3310,1628.0,778315
2,3320,1665.6,782044
2,3330,1679.3,784482
2,3340,1609.5,786647
2,3350,1621.7,789976
2,3360,1783.7,794575
2,3370,1859.8,797857
2,3380,1876.1,800554
2,3390,1916.6,803830
2,3400,1903.6,805457
2,3410,1930.4,808355
2,3420,1820.0,810303
2,3430,1755.5,811482
2,3440,1822.8,814258
2,3450,1878.0,817800
2,3460,1761.9,820106
2,3470,1752.5,823614
2,3480,1666.3,825241
2,3490,1641.6,827577
2,3500,1607.3,829391
2,3510,1596.4,832141
2,3520,1646.4,834300
2,3530,1763.8,837907
2,3540,1732.0,841816
2,3550,1608.0,842854
2,3560,1566.4,844152
2,3570,1498.2,845823
2,3580,1511.7,847762
2,3590,1564.9,851021
2,3600,1663.0,853865
2,3610,1624.4,856541
2,3620,1621.2,859486
2,3630,1567.4,861868
2,3640,1581.1,865783
2,3650,1650.9,868079
2,3660,1719.2,871559
2,3670,1768.4,875205
2,3680,1740.0,876424
2,3690,1645.6,877853
2,3700,1577.6,879287
2,3710,1559.0,880473
2,3720,1537.0,882289
2,3730,1451.2,883074
2,3740,1316.1,883752
2,3750,1249.6,885628
2,3760,1155.0,886719
2,3770,1109.1,888338
2,3780,1155.2,890082
2,3790,1180.2,892075
2,3800,1152.9,893738
2,3810,1171.0,896141
2,3820,1164.6,898686
2,3830,1226.1,900255
2,3840,1303.4,902185
2,3850,1354.5,904002
2,3860,1362.6,905119
2,3870,1314.2,906056
2,3880,1244.3,907306
2,3890,1197.6,908559
2,3900,1212.6,909895
2,3910,1203.4,911709
2,3920,1211.6,913550
2,3930,1239.4,916451
2,3940,1320.5,919650
2,3950,1295.9,921549
